,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,disobey_vape,1.0,0,0,0
1,2,drunk_driving,1.0,0,0,0
2,3,furniture,1.0,0,0,0
3,4,marijuana_driving,0.0,0,0,0
4,5,burger,2.0,1,1,0
5,6,coffee,0.0,0,0,0
6,7,stop_smoking,0.0,0,0,0
7,8,pizza,0.0,0,0,0
8,9,drugged_driving,4.0,0,0,0
9,10,lawyer,2.0,0,0,0
10,11,brunch,1.0,0,1,0
11,12,distracted_driving,1.0,0,0,0
12,13,hotel,1.0,0,0,0
13,14,binge_drinking,0.0,0,1,0
14,15,buckle_up,0.0,0,1,0
15,16,smartphone,0.0,0,0,0
16,17,salad,1.0,1,1,0
17,18,underage_drinking,2.0,0,0,0
18,19,education_donation,1.0,0,0,0
19,20,texting_driving,1.0,0,0,0
