,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,drugged_driving,0.0,0,0,0
1,2,underage_drinking,0.0,0,0,0
2,3,salad,0.0,0,1,0
3,4,burger,0.0,0,0,0
4,5,distracted_driving,0.0,0,0,0
5,6,hotel,0.0,0,0,0
6,7,buckle_up,1.0,0,0,0
7,8,education_donation,0.0,0,0,0
8,9,coffee,0.0,0,0,0
9,10,texting_driving,0.0,0,0,0
10,11,binge_drinking,0.0,0,0,0
11,12,drunk_driving,0.0,0,0,0
12,13,stop_smoking,0.0,0,0,0
13,14,lawyer,0.0,0,1,0
14,15,brunch,0.0,0,1,0
15,16,marijuana_driving,0.0,0,0,0
16,17,furniture,0.0,0,0,0
17,18,pizza,0.0,0,0,0
18,19,disobey_vape,0.0,0,0,0
19,20,smartphone,0.0,1,1,0
