,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,hotel,0.0,0,0,1
1,2,coffee,0.0,0,0,1
2,3,drunk_driving,0.0,0,0,1
3,4,binge_drinking,0.0,0,0,1
4,5,buckle_up,1.0,1,1,1
5,6,stop_smoking,1.0,0,0,1
6,7,lawyer,0.0,0,0,1
7,8,smartphone,0.0,0,0,1
8,9,distracted_driving,1.0,0,1,1
9,10,texting_driving,0.0,0,1,1
10,11,marijuana_driving,0.0,0,0,1
11,12,brunch,0.0,0,0,1
12,13,drugged_driving,0.0,0,1,1
13,14,disobey_vape,0.0,0,1,1
14,15,pizza,0.0,0,0,1
15,16,burger,0.0,0,1,1
16,17,education_donation,0.0,0,0,1
17,18,furniture,0.0,0,0,1
18,19,salad,0.0,0,1,1
19,20,underage_drinking,0.0,0,0,1
