,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,buckle_up,1.0,0,0,0
1,2,lawyer,0.0,0,0,0
2,3,smartphone,0.0,0,0,0
3,4,distracted_driving,0.0,0,0,0
4,5,disobey_vape,0.0,0,0,0
5,6,texting_driving,0.0,0,0,0
6,7,drugged_driving,0.0,0,0,0
7,8,binge_drinking,0.0,0,0,0
8,9,burger,0.0,0,1,0
9,10,coffee,0.0,0,0,0
10,11,marijuana_driving,3.0,1,1,0
11,12,furniture,0.0,0,0,0
12,13,brunch,0.0,0,0,0
13,14,education_donation,0.0,0,0,0
14,15,hotel,0.0,0,0,0
15,16,underage_drinking,0.0,0,0,0
16,17,salad,0.0,0,0,0
17,18,drunk_driving,0.0,0,0,0
18,19,pizza,0.0,1,1,0
19,20,stop_smoking,1.0,1,1,0
