,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,burger,0.0,1,1,0
1,2,pizza,0.0,1,1,0
2,3,texting_driving,0.0,0,1,0
3,4,drunk_driving,0.0,0,1,0
4,5,binge_drinking,0.0,0,0,0
5,6,smartphone,0.0,0,0,0
6,7,salad,1.0,1,1,0
7,8,hotel,0.0,0,1,0
8,9,underage_drinking,0.0,0,0,0
9,10,stop_smoking,1.0,1,1,0
10,11,disobey_vape,3.0,1,1,0
11,12,lawyer,3.0,0,1,0
12,13,coffee,0.0,0,0,0
13,14,drugged_driving,3.0,1,1,0
14,15,education_donation,3.0,0,0,0
15,16,buckle_up,1.0,0,0,0
16,17,distracted_driving,1.0,0,1,0
17,18,furniture,1.0,0,0,0
18,19,brunch,1.0,1,1,0
19,20,marijuana_driving,9.0,1,1,0
