,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,distracted_driving,1,0,0,0
1,2,burger,2,0,0,0
2,3,stop_smoking,2,0,0,0
3,4,drunk_driving,1,1,0,0
4,5,underage_drinking,3,0,1,0
5,6,pizza,2,1,1,0
6,7,brunch,2,0,1,0
7,8,buckle_up,2,0,1,0
8,9,disobey_vape,1,0,1,0
9,10,furniture,1,0,0,0
10,11,texting_driving,3,0,0,0
11,12,lawyer,2,0,0,0
12,13,smartphone,2,0,0,0
13,14,salad,1,1,1,0
14,15,drugged_driving,2,1,1,0
15,16,coffee,1,0,1,0
16,17,marijuana_driving,1,1,0,0
17,18,hotel,3,0,0,0
18,19,education_donation,2,0,1,0
19,20,binge_drinking,3,0,1,0
