,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,furniture,0.0,0,0,0
1,2,stop_smoking,1.0,0,0,0
2,3,texting_driving,2.0,0,0,0
3,4,education_donation,0.0,0,0,0
4,5,burger,0.0,0,0,0
5,6,pizza,2.0,1,1,0
6,7,marijuana_driving,0.0,0,0,0
7,8,coffee,1.0,0,0,0
8,9,underage_drinking,0.0,0,0,0
9,10,distracted_driving,0.0,0,0,0
10,11,drugged_driving,0.0,0,0,0
11,12,lawyer,0.0,0,0,0
12,13,binge_drinking,1.0,0,0,0
13,14,hotel,0.0,0,0,0
14,15,brunch,0.0,0,1,0
15,16,salad,0.0,0,0,0
16,17,disobey_vape,0.0,0,1,0
17,18,smartphone,0.0,0,0,0
18,19,buckle_up,0.0,0,0,0
19,20,drunk_driving,0.0,0,0,0
