,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,education_donation,0.0,0,0,0
1,2,hotel,1.0,0,0,0
2,3,buckle_up,1.0,1,1,0
3,4,texting_driving,1.0,0,0,0
4,5,furniture,0.0,0,0,0
5,6,coffee,2.0,1,1,0
6,7,brunch,0.0,0,0,0
7,8,burger,0.0,0,0,0
8,9,stop_smoking,0.0,0,0,0
9,10,distracted_driving,1.0,0,0,0
10,11,smartphone,0.0,0,0,0
11,12,binge_drinking,0.0,0,0,0
12,13,lawyer,0.0,0,0,0
13,14,disobey_vape,0.0,0,0,0
14,15,pizza,0.0,0,0,0
15,16,salad,0.0,0,0,0
16,17,marijuana_driving,0.0,0,0,0
17,18,drunk_driving,0.0,0,0,0
18,19,underage_drinking,0.0,0,0,0
19,20,drugged_driving,0.0,0,0,0
