,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,disobey_vape,2,0,0,0
1,2,salad,8,1,1,0
2,3,stop_smoking,6,0,0,0
3,4,smartphone,5,0,0,0
4,5,pizza,7,1,1,0
5,6,drugged_driving,4,0,0,0
6,7,texting_driving,4,0,0,0
7,8,hotel,3,0,1,0
8,9,binge_drinking,8,0,0,0
9,10,brunch,7,0,1,0
10,11,burger,7,0,1,0
11,12,underage_drinking,2,0,0,0
12,13,lawyer,4,1,1,0
13,14,furniture,6,0,1,0
14,15,education_donation,5,0,0,0
15,16,marijuana_driving,4,0,1,0
16,17,coffee,3,1,1,0
17,18,distracted_driving,4,0,0,0
18,19,drunk_driving,5,0,1,0
19,20,buckle_up,7,0,0,0
