,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,drugged_driving,0.0,0,0,1
1,2,underage_drinking,1.0,0,0,1
2,3,marijuana_driving,0.0,0,0,1
3,4,smartphone,1.0,0,0,1
4,5,salad,1.0,1,1,1
5,6,burger,0.0,0,1,1
6,7,furniture,1.0,0,0,1
7,8,disobey_vape,0.0,0,0,1
8,9,coffee,4.0,0,0,1
9,10,drunk_driving,1.0,0,0,1
10,11,pizza,5.0,0,0,1
11,12,hotel,0.0,0,0,1
12,13,distracted_driving,2.0,0,1,1
13,14,brunch,0.0,0,0,1
14,15,stop_smoking,7.0,0,1,1
15,16,lawyer,1.0,0,0,1
16,17,education_donation,0.0,0,0,1
17,18,binge_drinking,1.0,0,1,1
18,19,texting_driving,3.0,1,0,1
19,20,buckle_up,2.0,1,1,1
